Date,Description,Amount,Transaction Type,Category
2026-04-06,Target Retail Store,42.28,expense,Shopping
2026-04-07,Shell Gasoline Fill-up,40.83,expense,Travel
2026-04-08,Xbox Live Game Store Purchase,50.99,expense,Entertainment
2026-04-09,Disneyland Theme Park Ticket,171.58,expense,Entertainment
2026-04-10,Whole Foods Grocery Delivery,100.53,expense,Food
2026-04-11,Shell Gasoline Fill-up,56.59,expense,Travel
2026-04-11,Corporate Monthly Salary Paycheck,2536.07,income,Salary
2026-04-12,Shell Gasoline Fill-up,55.01,expense,Travel
2026-04-12,Netflix Streaming Subscription,17.27,expense,Bills
2026-04-13,Nike Sneakers Purchase,151.08,expense,Shopping
2026-04-15,General Hospital Doctor Consultation,135.3,expense,Medical
2026-04-16,Post Office Mail Shipping,14.98,expense,Others
2026-04-17,Walgreens Drugstore medicine,49.02,expense,Medical
2026-04-18,Local Charity Donation,48.72,expense,Others
2026-04-19,Investment Dividend Payment Deposit,244.49,income,Dividend
2026-04-20,Shell Gasoline Fill-up,31.49,expense,Travel
2026-04-21,Uber Ride Share,36.13,expense,Travel
2026-04-23,College Bookstore Textbooks,97.88,expense,Education
2026-04-23,H&M Summer Collection Apparels,63.51,expense,Shopping
2026-04-24,UNUSUAL Walgreens Drugstore medicine (Anomaly),460.26,expense,Medical
2026-04-26,City Water & Sewerage Bill,54.61,expense,Bills
2026-04-28,City Water & Sewerage Bill,43.45,expense,Bills
2026-04-29,Walmart Grocery Store,82.09,expense,Food
2026-05-01,Nike Sneakers Purchase,90.6,expense,Shopping
2026-05-02,Local Charity Donation,83.18,expense,Others
2026-05-04,Whole Foods Grocery Delivery,80.84,expense,Food
2026-05-05,City Water & Sewerage Bill,68.58,expense,Bills
2026-05-05,Xbox Live Game Store Purchase,53.59,expense,Entertainment
2026-05-06,Whole Foods Grocery Delivery,143.82,expense,Food
2026-05-06,Walmart Grocery Store,92.6,expense,Food
2026-05-07,Comcast Xfinity Internet Bill,98.82,expense,Bills
2026-05-07,Walgreens Drugstore medicine,29.67,expense,Medical
2026-05-08,Metropolitan Power Grid Electric Bill,117.67,expense,Bills
2026-05-09,College Bookstore Textbooks,154.33,expense,Education
2026-05-11,Investment Dividend Payment Deposit,206.42,income,Dividend
2026-05-12,Duolingo Language App Premium,8.16,expense,Education
2026-05-13,Bowlero Bowling Center Lanes,38.26,expense,Entertainment
2026-05-13,Disneyland Theme Park Ticket,235.02,expense,Entertainment
2026-05-14,Freelance Software Project Invoice,329.66,income,Freelance
2026-05-16,Bowlero Bowling Center Lanes,35.44,expense,Entertainment
2026-05-16,City Water & Sewerage Bill,67.23,expense,Bills
2026-05-17,Walmart Grocery Store,63.41,expense,Food
2026-05-18,Best Buy Electronics Store,208.07,expense,Shopping
2026-05-18,H&M Summer Collection Apparels,67.79,expense,Shopping
2026-05-19,Rent Payment Apartment,1200.0,expense,Bills
2026-05-20,Starbucks Coffee Shop,11.74,expense,Food
2026-05-22,Hilton Hotels Reservation,138.67,expense,Travel
2026-05-23,Chevron Gas Station,24.61,expense,Travel
2026-05-24,Freelance Software Project Invoice,470.73,income,Freelance
2026-05-25,Uber Ride Share,42.34,expense,Travel
2026-05-26,Coursera Data Science Certification,47.61,expense,Education
2026-05-26,Disneyland Theme Park Ticket,107.86,expense,Entertainment
2026-05-27,General Hospital Doctor Consultation,116.66,expense,Medical
2026-05-29,Local Charity Donation,69.72,expense,Others
2026-05-30,Freelance Software Project Invoice,461.53,income,Freelance
2026-06-01,Target Retail Store,69.66,expense,Shopping
2026-06-02,Corporate Monthly Salary Paycheck,2638.6,income,Salary
2026-06-02,UberEats Restaurant Delivery,36.83,expense,Food
2026-06-03,Investment Dividend Payment Deposit,248.22,income,Dividend
2026-06-04,Blue Shield Health Insurance Co-pay,30.78,expense,Medical
2026-06-05,State DMV Vehicle Registration,98.3,expense,Others
2026-06-05,H&M Summer Collection Apparels,89.92,expense,Shopping
2026-06-07,Coursera Data Science Certification,47.75,expense,Education
2026-06-07,Netflix Streaming Subscription,17.18,expense,Bills
2026-06-08,Local Charity Donation,68.24,expense,Others
2026-06-09,Zara Clothing Apparel,144.8,expense,Shopping
2026-06-09,Zara Clothing Apparel,42.99,expense,Shopping
2026-06-09,Coursera Data Science Certification,42.55,expense,Education
2026-06-09,Netflix Streaming Subscription,21.39,expense,Bills
2026-06-09,Duolingo Language App Premium,8.07,expense,Education
2026-06-10,City Water & Sewerage Bill,69.97,expense,Bills
2026-06-12,Investment Dividend Payment Deposit,99.47,income,Dividend
2026-06-12,Verizon Monthly Wireless Bill,107.89,expense,Bills
2026-06-13,AMC Movie Theatre Tickets,30.25,expense,Entertainment
2026-06-14,Post Office Mail Shipping,23.87,expense,Others
2026-06-15,Zara Clothing Apparel,114.98,expense,Shopping
2026-06-16,Metropolitan Power Grid Electric Bill,156.11,expense,Bills
2026-06-16,Nike Sneakers Purchase,174.37,expense,Shopping
2026-06-17,Metropolitan Power Grid Electric Bill,158.18,expense,Bills
2026-06-17,Subway Sandwiches Store,17.2,expense,Food
2026-06-18,Disneyland Theme Park Ticket,172.88,expense,Entertainment
2026-06-19,Comcast Xfinity Internet Bill,68.39,expense,Bills
2026-06-21,Local Charity Donation,18.21,expense,Others
2026-06-23,College Bookstore Textbooks,189.21,expense,Education
2026-06-24,Local Charity Donation,31.25,expense,Others
2026-06-25,Hilton Hotels Reservation,318.45,expense,Travel
2026-06-27,Rent Payment Apartment,1200.0,expense,Bills
2026-06-29,Chevron Gas Station,26.07,expense,Travel
2026-06-30,Spotify Music Premium,12.7,expense,Bills
2026-07-02,Xbox Live Game Store Purchase,31.95,expense,Entertainment
2026-07-02,Starbucks Coffee Shop,9.42,expense,Food
2026-07-04,Post Office Mail Shipping,21.56,expense,Others
2026-07-05,Amtrak Train Transit,33.52,expense,Travel
2026-07-06,Verizon Monthly Wireless Bill,60.53,expense,Bills
2026-07-07,Amazon Online Shopping,46.86,expense,Shopping
2026-07-08,Target Retail Store,82.53,expense,Shopping
2026-07-09,Walgreens Drugstore medicine,31.64,expense,Medical
2026-07-10,Delta Airlines Ticket flight,323.23,expense,Travel
2026-07-10,Investment Dividend Payment Deposit,196.19,income,Dividend
2026-07-11,Amtrak Train Transit,48.67,expense,Travel
2026-07-12,State DMV Vehicle Registration,106.27,expense,Others
2026-07-13,State DMV Vehicle Registration,104.22,expense,Others
2026-07-13,Xbox Live Game Store Purchase,18.87,expense,Entertainment
2026-07-13,Uber Ride Share,36.66,expense,Travel
2026-07-15,Nike Sneakers Purchase,62.64,expense,Shopping
2026-07-15,Best Buy Electronics Store,265.74,expense,Shopping
2026-07-16,Corporate Monthly Salary Paycheck,3827.08,income,Salary
2026-07-16,Metropolitan Power Grid Electric Bill,98.29,expense,Bills
2026-07-16,Walgreens Drugstore medicine,26.17,expense,Medical
2026-07-16,Comcast Xfinity Internet Bill,70.65,expense,Bills
2026-07-16,Investment Dividend Payment Deposit,169.21,income,Dividend
2026-07-16,Amazon Online Shopping,118.06,expense,Shopping
2026-07-16,Dominos Pizza delivery,30.63,expense,Food
2026-07-16,Delta Airlines Ticket flight,226.49,expense,Travel
2026-07-16,College Bookstore Textbooks,233.14,expense,Education
2026-07-16,General Hospital Doctor Consultation,135.33,expense,Medical
2026-07-16,Whole Foods Grocery Delivery,61.42,expense,Food
2026-07-16,Starbucks Coffee Shop,14.05,expense,Food
2026-07-16,State DMV Vehicle Registration,100.07,expense,Others
2026-07-16,Verizon Monthly Wireless Bill,63.89,expense,Bills
2026-07-16,Nike Sneakers Purchase,168.19,expense,Shopping
2026-07-16,State DMV Vehicle Registration,117.5,expense,Others
2026-07-16,College Bookstore Textbooks,99.76,expense,Education
2026-07-16,Local Charity Donation,11.2,expense,Others
2026-07-16,Comcast Xfinity Internet Bill,87.51,expense,Bills
2026-07-16,Walmart Grocery Store,101.0,expense,Food
2026-07-16,Post Office Mail Shipping,28.08,expense,Others
2026-07-16,Subway Sandwiches Store,10.74,expense,Food
2026-07-16,Coursera Data Science Certification,46.36,expense,Education
2026-07-16,Blue Shield Health Insurance Co-pay,41.98,expense,Medical
2026-07-16,Target Retail Store,15.82,expense,Shopping
2026-07-16,H&M Summer Collection Apparels,25.49,expense,Shopping
2026-07-16,Uber Ride Share,44.43,expense,Travel
2026-07-16,Xbox Live Game Store Purchase,20.25,expense,Entertainment
2026-07-16,UberEats Restaurant Delivery,53.77,expense,Food
2026-07-16,Hilton Hotels Reservation,203.06,expense,Travel
2026-07-16,College Bookstore Textbooks,219.83,expense,Education
2026-07-16,Target Retail Store,75.48,expense,Shopping
2026-07-16,State DMV Vehicle Registration,95.76,expense,Others
2026-07-16,Post Office Mail Shipping,5.59,expense,Others
2026-07-16,UberEats Restaurant Delivery,35.37,expense,Food
2026-07-16,Delta Airlines Ticket flight,154.08,expense,Travel
2026-07-16,Spotify Music Premium,10.55,expense,Bills
2026-07-16,CVS Pharmacy prescription,44.07,expense,Medical
2026-07-16,Coursera Data Science Certification,43.86,expense,Education
2026-07-16,Hilton Hotels Reservation,391.57,expense,Travel
2026-07-16,Ticketmaster Concert Live Music,130.85,expense,Entertainment
2026-07-16,Blue Shield Health Insurance Co-pay,48.57,expense,Medical
2026-07-16,Investment Dividend Payment Deposit,119.77,income,Dividend
2026-07-16,AMC Movie Theatre Tickets,39.24,expense,Entertainment
2026-07-16,Hilton Hotels Reservation,231.83,expense,Travel
2026-07-16,Freelance Software Project Invoice,835.57,income,Freelance
2026-07-16,Whole Foods Grocery Delivery,62.07,expense,Food
2026-07-16,Investment Dividend Payment Deposit,98.86,income,Dividend
2026-07-16,Subway Sandwiches Store,17.78,expense,Food
2026-07-16,Amazon Online Shopping,168.04,expense,Shopping
2026-07-16,Corporate Monthly Salary Paycheck,2919.13,income,Salary
2026-07-16,Udemy Python Programming Course,20.7,expense,Education
2026-07-16,Local Charity Donation,72.92,expense,Others
2026-07-16,Starbucks Coffee Shop,14.09,expense,Food
2026-07-16,Bowlero Bowling Center Lanes,15.95,expense,Entertainment
2026-07-16,Rent Payment Apartment,1200.0,expense,Bills
2026-07-16,UNUSUAL Dental Care Clinic Orthodontics (Anomaly),973.43,expense,Medical
2026-07-16,Best Buy Electronics Store,142.7,expense,Shopping
2026-07-16,Target Retail Store,91.82,expense,Shopping
2026-07-16,Whole Foods Grocery Delivery,49.56,expense,Food
2026-07-16,McDonald's Fast Food,21.36,expense,Food
2026-07-16,Dental Care Clinic Orthodontics,228.2,expense,Medical
2026-07-16,Rent Payment Apartment,1200.0,expense,Bills
2026-07-16,Local Charity Donation,18.42,expense,Others
2026-07-16,Disneyland Theme Park Ticket,125.79,expense,Entertainment
2026-07-16,H&M Summer Collection Apparels,79.84,expense,Shopping
2026-07-16,State DMV Vehicle Registration,107.26,expense,Others
2026-07-16,Netflix Streaming Subscription,14.78,expense,Bills
2026-07-16,Nike Sneakers Purchase,164.05,expense,Shopping
2026-07-16,Freelance Software Project Invoice,1105.43,income,Freelance
2026-07-16,Hilton Hotels Reservation,267.4,expense,Travel
2026-07-16,CVS Pharmacy prescription,44.25,expense,Medical
2026-07-16,CVS Pharmacy prescription,54.65,expense,Medical
2026-07-16,General Hospital Doctor Consultation,194.87,expense,Medical
2026-07-16,UberEats Restaurant Delivery,49.91,expense,Food
2026-07-16,Hilton Hotels Reservation,364.53,expense,Travel
2026-07-16,Local Charity Donation,98.46,expense,Others
2026-07-16,Uber Ride Share,21.32,expense,Travel
2026-07-16,McDonald's Fast Food,18.8,expense,Food
2026-07-16,Coursera Data Science Certification,40.64,expense,Education
2026-07-16,Duolingo Language App Premium,9.53,expense,Education
2026-07-16,Delta Airlines Ticket flight,315.57,expense,Travel
2026-07-16,Disneyland Theme Park Ticket,203.21,expense,Entertainment
2026-07-16,Spotify Music Premium,13.06,expense,Bills
2026-07-16,Coursera Data Science Certification,46.27,expense,Education
2026-07-16,Xbox Live Game Store Purchase,67.92,expense,Entertainment
2026-07-16,CVS Pharmacy prescription,52.66,expense,Medical
2026-07-16,Metropolitan Power Grid Electric Bill,165.29,expense,Bills
2026-07-16,Comcast Xfinity Internet Bill,104.55,expense,Bills
2026-07-16,Disneyland Theme Park Ticket,155.59,expense,Entertainment
2026-07-16,Coursera Data Science Certification,45.32,expense,Education
2026-07-16,Freelance Software Project Invoice,630.53,income,Freelance
2026-07-16,Best Buy Electronics Store,279.01,expense,Shopping
2026-07-16,Freelance Software Project Invoice,1186.07,income,Freelance
2026-07-16,Netflix Streaming Subscription,14.5,expense,Bills
2026-07-16,CVS Pharmacy prescription,57.94,expense,Medical
2026-07-16,Disneyland Theme Park Ticket,143.41,expense,Entertainment
2026-07-16,CVS Pharmacy prescription,26.49,expense,Medical
2026-07-16,Starbucks Coffee Shop,6.72,expense,Food
2026-07-16,Freelance Software Project Invoice,1199.19,income,Freelance
2026-07-16,Corporate Monthly Salary Paycheck,3206.15,income,Salary
2026-07-16,Xbox Live Game Store Purchase,18.36,expense,Entertainment
2026-07-16,Target Retail Store,93.18,expense,Shopping
2026-07-16,Duolingo Language App Premium,8.93,expense,Education
2026-07-16,Duolingo Language App Premium,12.25,expense,Education
2026-07-16,City Water & Sewerage Bill,34.84,expense,Bills
2026-07-16,Walgreens Drugstore medicine,73.87,expense,Medical
2026-07-16,Hilton Hotels Reservation,274.7,expense,Travel
2026-07-16,Subway Sandwiches Store,17.81,expense,Food
2026-07-16,Local Charity Donation,42.48,expense,Others
2026-07-16,Shell Gasoline Fill-up,38.63,expense,Travel
2026-07-16,Verizon Monthly Wireless Bill,100.26,expense,Bills
2026-07-16,Ticketmaster Concert Live Music,153.05,expense,Entertainment
2026-07-16,Metropolitan Power Grid Electric Bill,135.82,expense,Bills
2026-07-16,College Bookstore Textbooks,205.43,expense,Education
2026-07-16,CVS Pharmacy prescription,55.89,expense,Medical
2026-07-16,Delta Airlines Ticket flight,163.95,expense,Travel
2026-07-16,Netflix Streaming Subscription,14.42,expense,Bills
2026-07-16,Metropolitan Power Grid Electric Bill,112.82,expense,Bills
2026-07-16,H&M Summer Collection Apparels,49.87,expense,Shopping
2026-07-16,Starbucks Coffee Shop,4.81,expense,Food
2026-07-16,Amtrak Train Transit,62.17,expense,Travel
2026-07-16,Xbox Live Game Store Purchase,43.34,expense,Entertainment
2026-07-16,Bowlero Bowling Center Lanes,37.04,expense,Entertainment
2026-07-16,Subway Sandwiches Store,9.24,expense,Food
2026-07-16,Dental Care Clinic Orthodontics,143.53,expense,Medical
2026-07-16,Verizon Monthly Wireless Bill,97.71,expense,Bills
2026-07-16,Dominos Pizza delivery,21.01,expense,Food
2026-07-16,Shell Gasoline Fill-up,36.22,expense,Travel
2026-07-16,Zara Clothing Apparel,89.22,expense,Shopping
2026-07-16,Amazon Online Shopping,60.75,expense,Shopping
2026-07-16,Freelance Software Project Invoice,732.05,income,Freelance
2026-07-16,Disneyland Theme Park Ticket,163.79,expense,Entertainment
2026-07-16,Netflix Streaming Subscription,20.89,expense,Bills
2026-07-16,Walmart Grocery Store,97.34,expense,Food
2026-07-16,Investment Dividend Payment Deposit,153.68,income,Dividend
2026-07-16,General Hospital Doctor Consultation,173.09,expense,Medical
2026-07-16,Target Retail Store,80.54,expense,Shopping
2026-07-16,Xbox Live Game Store Purchase,17.58,expense,Entertainment
2026-07-16,Target Retail Store,92.83,expense,Shopping
2026-07-16,Investment Dividend Payment Deposit,106.63,income,Dividend
2026-07-16,Shell Gasoline Fill-up,49.97,expense,Travel
2026-07-16,AMC Movie Theatre Tickets,15.13,expense,Entertainment
2026-07-16,Blue Shield Health Insurance Co-pay,31.58,expense,Medical
2026-07-16,H&M Summer Collection Apparels,52.53,expense,Shopping
2026-07-16,Subway Sandwiches Store,17.33,expense,Food
2026-07-16,Rent Payment Apartment,1200.0,expense,Bills
2026-07-16,Spotify Music Premium,11.9,expense,Bills
2026-07-16,City Water & Sewerage Bill,51.4,expense,Bills
2026-07-16,Dental Care Clinic Orthodontics,184.33,expense,Medical
2026-07-16,Corporate Monthly Salary Paycheck,2894.67,income,Salary
2026-07-16,Uber Ride Share,37.31,expense,Travel
2026-07-16,Post Office Mail Shipping,24.43,expense,Others
2026-07-16,Comcast Xfinity Internet Bill,83.56,expense,Bills
2026-07-16,Duolingo Language App Premium,8.87,expense,Education
2026-07-16,Duolingo Language App Premium,12.36,expense,Education
2026-07-16,Post Office Mail Shipping,26.98,expense,Others
2026-07-16,Subway Sandwiches Store,16.67,expense,Food
2026-07-16,Freelance Software Project Invoice,818.69,income,Freelance
2026-07-16,Investment Dividend Payment Deposit,59.61,income,Dividend
2026-07-16,Dominos Pizza delivery,37.88,expense,Food
2026-07-16,Dominos Pizza delivery,44.29,expense,Food
2026-07-16,Hilton Hotels Reservation,330.11,expense,Travel
2026-07-16,Local Charity Donation,51.93,expense,Others
2026-07-16,Dominos Pizza delivery,36.22,expense,Food
2026-07-16,Local Charity Donation,84.27,expense,Others
2026-07-16,Shell Gasoline Fill-up,43.82,expense,Travel
2026-07-16,Comcast Xfinity Internet Bill,73.04,expense,Bills
2026-07-16,Xbox Live Game Store Purchase,31.01,expense,Entertainment
2026-07-16,Udemy Python Programming Course,24.54,expense,Education
2026-07-16,CVS Pharmacy prescription,21.87,expense,Medical
2026-07-16,Delta Airlines Ticket flight,169.06,expense,Travel
2026-07-16,Xbox Live Game Store Purchase,62.89,expense,Entertainment
2026-07-16,Chevron Gas Station,32.04,expense,Travel
2026-07-16,Disneyland Theme Park Ticket,191.34,expense,Entertainment
2026-07-16,Comcast Xfinity Internet Bill,63.96,expense,Bills
2026-07-16,McDonald's Fast Food,15.8,expense,Food
2026-07-16,Coursera Data Science Certification,45.38,expense,Education
2026-07-16,Zara Clothing Apparel,55.15,expense,Shopping
2026-07-16,Hilton Hotels Reservation,351.93,expense,Travel
2026-07-16,Udemy Python Programming Course,21.56,expense,Education
2026-07-16,City Water & Sewerage Bill,43.97,expense,Bills
2026-07-16,Dental Care Clinic Orthodontics,131.77,expense,Medical
2026-07-16,Spotify Music Premium,11.16,expense,Bills
2026-07-16,Walgreens Drugstore medicine,51.6,expense,Medical
2026-07-16,Subway Sandwiches Store,11.8,expense,Food
2026-07-16,Freelance Software Project Invoice,716.88,income,Freelance
2026-07-16,Uber Ride Share,26.51,expense,Travel
2026-07-16,Whole Foods Grocery Delivery,118.55,expense,Food
2026-07-16,College Bookstore Textbooks,174.83,expense,Education
2026-07-16,Amazon Online Shopping,85.06,expense,Shopping
2026-07-16,Walmart Grocery Store,100.05,expense,Food
2026-07-16,CVS Pharmacy prescription,15.35,expense,Medical
2026-07-16,Freelance Software Project Invoice,319.03,income,Freelance
2026-07-16,College Bookstore Textbooks,137.46,expense,Education
2026-07-16,Hilton Hotels Reservation,285.47,expense,Travel
2026-07-16,Dental Care Clinic Orthodontics,90.32,expense,Medical
2026-07-16,Comcast Xfinity Internet Bill,119.99,expense,Bills
2026-07-16,Blue Shield Health Insurance Co-pay,25.59,expense,Medical
2026-07-16,Nike Sneakers Purchase,59.84,expense,Shopping
2026-07-16,Corporate Monthly Salary Paycheck,2830.77,income,Salary
2026-07-16,Uber Ride Share,18.25,expense,Travel
2026-07-16,Amtrak Train Transit,88.26,expense,Travel
2026-07-16,Spotify Music Premium,12.53,expense,Bills
2026-07-16,Amazon Online Shopping,35.27,expense,Shopping
2026-07-16,UberEats Restaurant Delivery,73.05,expense,Food
2026-07-16,Delta Airlines Ticket flight,279.58,expense,Travel
2026-07-16,Xbox Live Game Store Purchase,31.64,expense,Entertainment
2026-07-16,Walmart Grocery Store,37.62,expense,Food
2026-07-16,CVS Pharmacy prescription,52.95,expense,Medical
2026-07-16,Delta Airlines Ticket flight,468.79,expense,Travel
2026-07-16,H&M Summer Collection Apparels,51.4,expense,Shopping
2026-07-16,Duolingo Language App Premium,9.41,expense,Education
2026-07-16,General Hospital Doctor Consultation,141.68,expense,Medical
2026-07-16,General Hospital Doctor Consultation,160.67,expense,Medical
2026-07-16,Blue Shield Health Insurance Co-pay,21.94,expense,Medical
2026-07-16,Dental Care Clinic Orthodontics,138.25,expense,Medical
2026-07-16,Dental Care Clinic Orthodontics,99.62,expense,Medical
2026-07-16,Ticketmaster Concert Live Music,86.95,expense,Entertainment
2026-07-16,Post Office Mail Shipping,11.24,expense,Others
2026-07-16,Delta Airlines Ticket flight,268.8,expense,Travel
2026-07-16,UberEats Restaurant Delivery,68.82,expense,Food
2026-07-16,Subway Sandwiches Store,10.16,expense,Food
2026-07-16,Freelance Software Project Invoice,861.79,income,Freelance
2026-07-16,Disneyland Theme Park Ticket,130.1,expense,Entertainment
2026-07-16,Comcast Xfinity Internet Bill,70.81,expense,Bills
2026-07-16,Shell Gasoline Fill-up,59.22,expense,Travel
2026-07-16,Dominos Pizza delivery,27.84,expense,Food
2026-07-16,Walmart Grocery Store,119.68,expense,Food
2026-07-16,Walgreens Drugstore medicine,61.59,expense,Medical
2026-07-16,Local Charity Donation,91.7,expense,Others
2026-07-16,Local Charity Donation,37.79,expense,Others
2026-07-16,Metropolitan Power Grid Electric Bill,172.41,expense,Bills
2026-07-16,CVS Pharmacy prescription,37.97,expense,Medical
2026-07-16,Spotify Music Premium,12.84,expense,Bills
2026-07-16,Freelance Software Project Invoice,846.92,income,Freelance
2026-07-16,Bowlero Bowling Center Lanes,15.74,expense,Entertainment
2026-07-16,Starbucks Coffee Shop,10.89,expense,Food
2026-07-16,Walmart Grocery Store,43.17,expense,Food
2026-07-16,Metropolitan Power Grid Electric Bill,72.1,expense,Bills
2026-07-16,AMC Movie Theatre Tickets,34.22,expense,Entertainment
2026-07-16,Zara Clothing Apparel,123.8,expense,Shopping
2026-07-16,Verizon Monthly Wireless Bill,74.92,expense,Bills
2026-07-16,Disneyland Theme Park Ticket,152.74,expense,Entertainment
2026-07-16,AMC Movie Theatre Tickets,18.06,expense,Entertainment
2026-07-16,Dental Care Clinic Orthodontics,237.16,expense,Medical
2026-07-16,Coursera Data Science Certification,41.63,expense,Education
2026-07-16,Dominos Pizza delivery,34.37,expense,Food
2026-07-16,Zara Clothing Apparel,32.44,expense,Shopping
2026-07-16,Local Charity Donation,12.63,expense,Others
2026-07-16,Corporate Monthly Salary Paycheck,4358.11,income,Salary
2026-07-16,Walgreens Drugstore medicine,30.39,expense,Medical
2026-07-16,Freelance Software Project Invoice,501.25,income,Freelance
2026-07-16,Ticketmaster Concert Live Music,90.6,expense,Entertainment
2026-07-16,Target Retail Store,94.27,expense,Shopping
2026-07-16,Dental Care Clinic Orthodontics,275.2,expense,Medical
2026-07-16,Bowlero Bowling Center Lanes,35.58,expense,Entertainment
2026-07-16,Amtrak Train Transit,85.08,expense,Travel
2026-07-16,Dominos Pizza delivery,44.75,expense,Food
2026-07-16,Local Charity Donation,48.1,expense,Others
2026-07-16,Local Charity Donation,25.82,expense,Others
2026-07-16,Investment Dividend Payment Deposit,150.34,income,Dividend
2026-07-16,Post Office Mail Shipping,12.4,expense,Others
2026-07-16,Investment Dividend Payment Deposit,151.7,income,Dividend
2026-07-16,Disneyland Theme Park Ticket,118.92,expense,Entertainment
2026-07-16,H&M Summer Collection Apparels,39.8,expense,Shopping
2026-07-16,Disneyland Theme Park Ticket,223.22,expense,Entertainment
2026-07-16,Amazon Online Shopping,189.26,expense,Shopping
2026-07-16,CVS Pharmacy prescription,50.45,expense,Medical
2026-07-16,Coursera Data Science Certification,40.39,expense,Education
2026-07-16,State DMV Vehicle Registration,76.88,expense,Others
2026-07-16,Hilton Hotels Reservation,310.75,expense,Travel
2026-07-16,CVS Pharmacy prescription,58.68,expense,Medical
2026-07-16,UNUSUAL Starbucks Coffee Shop (Anomaly),95.52,expense,Food
2026-07-16,Spotify Music Premium,12.93,expense,Bills
2026-07-16,Delta Airlines Ticket flight,221.38,expense,Travel
2026-07-16,Rent Payment Apartment,1200.0,expense,Bills
2026-07-16,Amtrak Train Transit,40.17,expense,Travel
2026-07-16,Local Charity Donation,50.68,expense,Others
2026-07-16,Dental Care Clinic Orthodontics,163.94,expense,Medical
2026-07-16,College Bookstore Textbooks,90.58,expense,Education
2026-07-16,Nike Sneakers Purchase,144.1,expense,Shopping
2026-07-16,Netflix Streaming Subscription,14.74,expense,Bills
2026-07-16,Best Buy Electronics Store,73.95,expense,Shopping
2026-07-16,Subway Sandwiches Store,7.88,expense,Food
2026-07-16,Ticketmaster Concert Live Music,167.48,expense,Entertainment
2026-07-16,UNUSUAL Rent Payment Apartment (Anomaly),12082.77,expense,Bills
2026-07-16,Subway Sandwiches Store,7.36,expense,Food
2026-07-16,Comcast Xfinity Internet Bill,66.07,expense,Bills
2026-07-16,H&M Summer Collection Apparels,74.03,expense,Shopping
2026-07-16,Amazon Online Shopping,65.19,expense,Shopping
2026-07-16,Bowlero Bowling Center Lanes,28.35,expense,Entertainment
2026-07-16,UberEats Restaurant Delivery,65.11,expense,Food
2026-07-16,Xbox Live Game Store Purchase,66.04,expense,Entertainment
2026-07-16,McDonald's Fast Food,17.86,expense,Food
2026-07-16,Udemy Python Programming Course,28.81,expense,Education
2026-07-16,Ticketmaster Concert Live Music,149.89,expense,Entertainment
2026-07-16,Comcast Xfinity Internet Bill,67.74,expense,Bills
2026-07-16,Freelance Software Project Invoice,443.98,income,Freelance
2026-07-16,Dental Care Clinic Orthodontics,234.54,expense,Medical
2026-07-16,Corporate Monthly Salary Paycheck,2618.15,income,Salary
2026-07-16,Xbox Live Game Store Purchase,28.97,expense,Entertainment
2026-07-16,Walmart Grocery Store,53.41,expense,Food
2026-07-16,Best Buy Electronics Store,381.82,expense,Shopping
2026-07-16,Xbox Live Game Store Purchase,30.52,expense,Entertainment
2026-07-16,Amazon Online Shopping,103.66,expense,Shopping
2026-07-16,Netflix Streaming Subscription,10.47,expense,Bills
2026-07-16,Delta Airlines Ticket flight,260.7,expense,Travel
2026-07-16,Spotify Music Premium,14.98,expense,Bills
2026-07-16,Amazon Online Shopping,135.03,expense,Shopping
2026-07-16,Udemy Python Programming Course,24.1,expense,Education
2026-07-16,Walgreens Drugstore medicine,23.42,expense,Medical
2026-07-16,Verizon Monthly Wireless Bill,77.13,expense,Bills
2026-07-16,Metropolitan Power Grid Electric Bill,151.7,expense,Bills
2026-07-16,Spotify Music Premium,11.13,expense,Bills
2026-07-16,College Bookstore Textbooks,170.57,expense,Education
2026-07-16,Target Retail Store,61.86,expense,Shopping
2026-07-16,Freelance Software Project Invoice,627.62,income,Freelance
2026-07-16,College Bookstore Textbooks,102.71,expense,Education
2026-07-16,Bowlero Bowling Center Lanes,40.05,expense,Entertainment
2026-07-16,Amazon Online Shopping,33.44,expense,Shopping
2026-07-16,Metropolitan Power Grid Electric Bill,164.76,expense,Bills
2026-07-16,Walmart Grocery Store,81.6,expense,Food
2026-07-16,Target Retail Store,92.29,expense,Shopping
2026-07-16,Uber Ride Share,40.62,expense,Travel
2026-07-16,Spotify Music Premium,14.01,expense,Bills
2026-07-16,CVS Pharmacy prescription,33.25,expense,Medical
2026-07-16,City Water & Sewerage Bill,35.61,expense,Bills
2026-07-16,Bowlero Bowling Center Lanes,44.38,expense,Entertainment
2026-07-16,Zara Clothing Apparel,55.12,expense,Shopping
2026-07-16,Blue Shield Health Insurance Co-pay,23.21,expense,Medical
2026-07-16,Uber Ride Share,31.05,expense,Travel
2026-07-16,H&M Summer Collection Apparels,63.24,expense,Shopping
2026-07-16,Rent Payment Apartment,1200.0,expense,Bills
2026-07-16,Investment Dividend Payment Deposit,144.15,income,Dividend
2026-07-16,Ticketmaster Concert Live Music,83.02,expense,Entertainment
2026-07-16,Best Buy Electronics Store,346.09,expense,Shopping
2026-07-16,Best Buy Electronics Store,302.79,expense,Shopping
2026-07-16,Udemy Python Programming Course,22.72,expense,Education
2026-07-16,Subway Sandwiches Store,10.83,expense,Food
